row_id,amount,source_url,snapshot_date,verbatim_quote_from_source,note,currency,ein,family,field_path,metric,money_type,object_id,org_id,org_name,period_end,period_start,selected,side,source_file
R-ITIF-2020-ASSETS-3775,6770057,https://projects.propublica.org/nonprofits/full_text/202001959349303775/IRS990,2026-09-14,"6,770,057",Exact filed field; fiscal period dates taken from return header. Organization-wide amount; no AI allocation.,USD,204403497,ITIF,/AppData/SubmissionHeaderAndDocument/SubmissionDocument/IRS990[1]/TotalAssetsEOYAmt[1],ASSETS,organization_assets,202001959349303775,ITIF,Information Technology and Innovation Foundation,2020-02-29,2019-03-01,yes,industry,sources/return-202001959349303775.html
R-ITIF-2020-PROGRAM-3775,3626153,https://projects.propublica.org/nonprofits/full_text/202001959349303775/IRS990,2026-09-14,"3,626,153",Exact filed field; fiscal period dates taken from return header. Organization-wide amount; no AI allocation.,USD,204403497,ITIF,/AppData/SubmissionHeaderAndDocument/SubmissionDocument/IRS990[1]/TotalProgramServiceExpensesAmt[1],PROGRAM,organization_program,202001959349303775,ITIF,Information Technology and Innovation Foundation,2020-02-29,2019-03-01,yes,industry,sources/return-202001959349303775.html
R-ITIF-2020-EXPENSE-3775,4581031,https://projects.propublica.org/nonprofits/full_text/202001959349303775/IRS990,2026-09-14,"4,581,031",Exact filed field; fiscal period dates taken from return header. Organization-wide amount; no AI allocation.,USD,204403497,ITIF,/AppData/SubmissionHeaderAndDocument/SubmissionDocument/IRS990[1]/CYTotalExpensesAmt[1],EXPENSE,organization_expense,202001959349303775,ITIF,Information Technology and Innovation Foundation,2020-02-29,2019-03-01,yes,industry,sources/return-202001959349303775.html
R-ITIF-2020-CONTRIB-3775,4647903,https://projects.propublica.org/nonprofits/full_text/202001959349303775/IRS990,2026-09-14,"4,647,903",Exact filed field; fiscal period dates taken from return header. Organization-wide amount; no AI allocation.,USD,204403497,ITIF,/AppData/SubmissionHeaderAndDocument/SubmissionDocument/IRS990[1]/CYContributionsGrantsAmt[1],CONTRIB,organization_contrib,202001959349303775,ITIF,Information Technology and Innovation Foundation,2020-02-29,2019-03-01,yes,industry,sources/return-202001959349303775.html
R-ITIF-2020-INVEST-3775,288856,https://projects.propublica.org/nonprofits/full_text/202001959349303775/IRS990,2026-09-14,"288,856",Exact filed field; fiscal period dates taken from return header. Organization-wide amount; no AI allocation.,USD,204403497,ITIF,/AppData/SubmissionHeaderAndDocument/SubmissionDocument/IRS990[1]/CYInvestmentIncomeAmt[1],INVEST,organization_invest,202001959349303775,ITIF,Information Technology and Innovation Foundation,2020-02-29,2019-03-01,yes,industry,sources/return-202001959349303775.html
R-ITIF-2019-REV-1440,4062217,https://projects.propublica.org/nonprofits/full_text/201901929349301440/IRS990,2026-09-14,"4,062,217",Exact filed field; fiscal period dates taken from return header. Organization-wide amount; no AI allocation.,USD,204403497,ITIF,/AppData/SubmissionHeaderAndDocument/SubmissionDocument/IRS990[1]/CYTotalRevenueAmt[1],REV,organization_rev,201901929349301440,ITIF,Information Technology and Innovation Foundation,2019-02-28,2018-03-01,yes,industry,sources/return-201901929349301440.html
R-ITIF-2019-ASSETS-1440,5233584,https://projects.propublica.org/nonprofits/full_text/201901929349301440/IRS990,2026-09-14,"5,233,584",Exact filed field; fiscal period dates taken from return header. Organization-wide amount; no AI allocation.,USD,204403497,ITIF,/AppData/SubmissionHeaderAndDocument/SubmissionDocument/IRS990[1]/TotalAssetsEOYAmt[1],ASSETS,organization_assets,201901929349301440,ITIF,Information Technology and Innovation Foundation,2019-02-28,2018-03-01,yes,industry,sources/return-201901929349301440.html
R-ITIF-2019-PROGRAM-1440,3153600,https://projects.propublica.org/nonprofits/full_text/201901929349301440/IRS990,2026-09-14,"3,153,600",Exact filed field; fiscal period dates taken from return header. Organization-wide amount; no AI allocation.,USD,204403497,ITIF,/AppData/SubmissionHeaderAndDocument/SubmissionDocument/IRS990[1]/TotalProgramServiceExpensesAmt[1],PROGRAM,organization_program,201901929349301440,ITIF,Information Technology and Innovation Foundation,2019-02-28,2018-03-01,yes,industry,sources/return-201901929349301440.html
R-ITIF-2019-EXPENSE-1440,4125621,https://projects.propublica.org/nonprofits/full_text/201901929349301440/IRS990,2026-09-14,"4,125,621",Exact filed field; fiscal period dates taken from return header. Organization-wide amount; no AI allocation.,USD,204403497,ITIF,/AppData/SubmissionHeaderAndDocument/SubmissionDocument/IRS990[1]/CYTotalExpensesAmt[1],EXPENSE,organization_expense,201901929349301440,ITIF,Information Technology and Innovation Foundation,2019-02-28,2018-03-01,yes,industry,sources/return-201901929349301440.html
R-ITIF-2019-CONTRIB-1440,3946514,https://projects.propublica.org/nonprofits/full_text/201901929349301440/IRS990,2026-09-14,"3,946,514",Exact filed field; fiscal period dates taken from return header. Organization-wide amount; no AI allocation.,USD,204403497,ITIF,/AppData/SubmissionHeaderAndDocument/SubmissionDocument/IRS990[1]/CYContributionsGrantsAmt[1],CONTRIB,organization_contrib,201901929349301440,ITIF,Information Technology and Innovation Foundation,2019-02-28,2018-03-01,yes,industry,sources/return-201901929349301440.html
R-ITIF-2019-INVEST-1440,113690,https://projects.propublica.org/nonprofits/full_text/201901929349301440/IRS990,2026-09-14,"113,690",Exact filed field; fiscal period dates taken from return header. Organization-wide amount; no AI allocation.,USD,204403497,ITIF,/AppData/SubmissionHeaderAndDocument/SubmissionDocument/IRS990[1]/CYInvestmentIncomeAmt[1],INVEST,organization_invest,201901929349301440,ITIF,Information Technology and Innovation Foundation,2019-02-28,2018-03-01,yes,industry,sources/return-201901929349301440.html
R-PC-2024-REV-0917,8390404,https://projects.propublica.org/nonprofits/full_text/202521499349300917/IRS990,2026-09-14,"8,390,404",Exact filed field; fiscal period dates taken from return header. Organization-wide amount; no AI allocation.,USD,237104508,PC,/AppData/SubmissionHeaderAndDocument/SubmissionDocument/IRS990[1]/CYTotalRevenueAmt[1],REV,organization_rev,202521499349300917,PC,Public Citizen,2024-09-30,2023-10-01,yes,comparator,sources/return-202521499349300917.html
R-PC-2024-ASSETS-0917,3281426,https://projects.propublica.org/nonprofits/full_text/202521499349300917/IRS990,2026-09-14,"3,281,426",Exact filed field; fiscal period dates taken from return header. Organization-wide amount; no AI allocation.,USD,237104508,PC,/AppData/SubmissionHeaderAndDocument/SubmissionDocument/IRS990[1]/TotalAssetsEOYAmt[1],ASSETS,organization_assets,202521499349300917,PC,Public Citizen,2024-09-30,2023-10-01,yes,comparator,sources/return-202521499349300917.html
R-PC-2024-PROGRAM-0917,5931037,https://projects.propublica.org/nonprofits/full_text/202521499349300917/IRS990,2026-09-14,"5,931,037",Exact filed field; fiscal period dates taken from return header. Organization-wide amount; no AI allocation.,USD,237104508,PC,/AppData/SubmissionHeaderAndDocument/SubmissionDocument/IRS990[1]/TotalProgramServiceExpensesAmt[1],PROGRAM,organization_program,202521499349300917,PC,Public Citizen,2024-09-30,2023-10-01,yes,comparator,sources/return-202521499349300917.html
R-PC-2024-EXPENSE-0917,8347501,https://projects.propublica.org/nonprofits/full_text/202521499349300917/IRS990,2026-09-14,"8,347,501",Exact filed field; fiscal period dates taken from return header. Organization-wide amount; no AI allocation.,USD,237104508,PC,/AppData/SubmissionHeaderAndDocument/SubmissionDocument/IRS990[1]/CYTotalExpensesAmt[1],EXPENSE,organization_expense,202521499349300917,PC,Public Citizen,2024-09-30,2023-10-01,yes,comparator,sources/return-202521499349300917.html
R-PC-2024-CONTRIB-0917,7818007,https://projects.propublica.org/nonprofits/full_text/202521499349300917/IRS990,2026-09-14,"7,818,007",Exact filed field; fiscal period dates taken from return header. Organization-wide amount; no AI allocation.,USD,237104508,PC,/AppData/SubmissionHeaderAndDocument/SubmissionDocument/IRS990[1]/CYContributionsGrantsAmt[1],CONTRIB,organization_contrib,202521499349300917,PC,Public Citizen,2024-09-30,2023-10-01,yes,comparator,sources/return-202521499349300917.html
R-PC-2024-INVEST-0917,21831,https://projects.propublica.org/nonprofits/full_text/202521499349300917/IRS990,2026-09-14,"21,831",Exact filed field; fiscal period dates taken from return header. Organization-wide amount; no AI allocation.,USD,237104508,PC,/AppData/SubmissionHeaderAndDocument/SubmissionDocument/IRS990[1]/CYInvestmentIncomeAmt[1],INVEST,organization_invest,202521499349300917,PC,Public Citizen,2024-09-30,2023-10-01,yes,comparator,sources/return-202521499349300917.html
R-PC-2024-NETSALES-0917,-13674,https://projects.propublica.org/nonprofits/full_text/202521499349300917/IRS990,2026-09-14,"-13,674",Exact filed field; fiscal period dates taken from return header. Organization-wide amount; no AI allocation.,USD,237104508,PC,/AppData/SubmissionHeaderAndDocument/SubmissionDocument/IRS990[1]/NetGainOrLossInvestmentsGrp[1]/TotalRevenueColumnAmt[1],NETSALES,organization_netsales,202521499349300917,PC,Public Citizen,2024-09-30,2023-10-01,yes,comparator,sources/return-202521499349300917.html
R-PC-2023-REV-0817,5728329,https://projects.propublica.org/nonprofits/full_text/202421509349300817/IRS990,2026-09-14,"5,728,329",Exact filed field; fiscal period dates taken from return header. Organization-wide amount; no AI allocation.,USD,237104508,PC,/AppData/SubmissionHeaderAndDocument/SubmissionDocument/IRS990[1]/CYTotalRevenueAmt[1],REV,organization_rev,202421509349300817,PC,Public Citizen,2023-09-30,2022-10-01,yes,comparator,sources/return-202421509349300817.html
